Agency name,Organisation ID,Actor type,Abbreviation,Donor,Name of implementing partners (if different),Division name,Address,Parish,Neighbourhood name,Sector_Other,Title,Detailed Activity description,Target Population,Number of HHs targeted by activity,Number of individuals targeted by activity,Ongoing / planned / completed / suspended,Start (month),End (month),Livelihood - economic empowerement,Social and legal assistance,"Social services (health, education, basic infrastructure)",Feel free to add any comment or clarification,Name,Position,Email
Refuge and Hope International,22,International Non Governmental Organisation,Refuge and Hope International,,,Makindye,,KANSANGA,Nsambya Goggonya,Education,,"Center of Hope - We empower refugees and the host communities with language skills through our ESL classes. We also offer job skills training (Cooking, Hairdressing, Tailoring,business classes etc.)
 Advocacy done through class lessons (eg, WASH programs, Refugee Rights etc)",,,1100,Ongoing,05-Jan-18,07-Dec-18,x,,,,Robert Hakiza,Executive Director,robert@yarid.org / roberthakiza2001@gmail.com
AVSI,12,International Organisation / United Nations Agency,AVSI,,,All,,BUKOTO I,Katwe,Social Development,,"Distance Support project(DSP) is one of the oldest projects implemented by AVSI since 1994 in Uganda. The project originally focused on the need of Education and basic needs for the child and the family. It has gradually evolved and uses a multi sectoral approach to support the child and the family. DSP project has flexibility to respond to the divesre needs of the child and family and implements all the main OVC Core Program Areas as highlighted in the sector column. It is a continuos project that depend s on the availability of a donor/sponsor who is willing to sponsor a child. The project's main activities include: payment of school fees and scholastic materials for children at all levels, Support to school development programs including infrastructural development, equipment and acquisition of resource materials, suppport to vocational skills training of youths, provision of basic care and support to chronically ill or disabled children, support access shelter, and clean water to institutions and families, follow up on child abuse/ child protection cases, economic empowerement programs that include provision of IGA start up capital, VSLA, market oriented trainings among many other interventions.",,,1747,Ongoing,16-Jun-05,Continuing project,x,,,,,,
AVSI,12,International Organisation / United Nations Agency,AVSI,,,All,,KAMWOKYA I,Katwe Primary school,Social Development,,"Distance Support project(DSP) is one of the oldest projects implemented by AVSI since 1994 in Uganda. The project originally focused on the need of Education and basic needs for the child and the family. It has gradually evolved and uses a multi sectoral approach to support the child and the family. DSP project has flexibility to respond to the divesre needs of the child and family and implements all the main OVC Core Program Areas as highlighted in the sector column. It is a continuos project that depend s on the availability of a donor/sponsor who is willing to sponsor a child. The project's main activities include: payment of school fees and scholastic materials for children at all levels, Support to school development programs including infrastructural development, equipment and acquisition of resource materials, suppport to vocational skills training of youths, provision of basic care and support to chronically ill or disabled children, support access shelter, and clean water to institutions and families, follow up on child abuse/ child protection cases, economic empowerement programs that include provision of IGA start up capital, VSLA, market oriented trainings among many other interventions.",,,1747,Suspended,16-Jun-05,Continuing project,x,,,,,,
AVSI,12,International Organisation / United Nations Agency,AVSI,,,All,,MAKINDYE II,Nabulagala,Social Development,,"Distance Support project(DSP) is one of the oldest projects implemented by AVSI since 1994 in Uganda. The project originally focused on the need of Education and basic needs for the child and the family. It has gradually evolved and uses a multi sectoral approach to support the child and the family. DSP project has flexibility to respond to the divesre needs of the child and family and implements all the main OVC Core Program Areas as highlighted in the sector column. It is a continuos project that depend s on the availability of a donor/sponsor who is willing to sponsor a child. The project's main activities include: payment of school fees and scholastic materials for children at all levels, Support to school development programs including infrastructural development, equipment and acquisition of resource materials, suppport to vocational skills training of youths, provision of basic care and support to chronically ill or disabled children, support access shelter, and clean water to institutions and families, follow up on child abuse/ child protection cases, economic empowerement programs that include provision of IGA start up capital, VSLA, market oriented trainings among many other interventions.",,,1747,Planned,16-Jun-05,Continuing project,x,,,,,,
AVSI,12,International Organisation / United Nations Agency,AVSI,,YARID,All,,NSAMBYA CENTRAL,Katwe,Social Development,,"Distance Support project(DSP) is one of the oldest projects implemented by AVSI since 1994 in Uganda. The project originally focused on the need of Education and basic needs for the child and the family. It has gradually evolved and uses a multi sectoral approach to support the child and the family. DSP project has flexibility to respond to the divesre needs of the child and family and implements all the main OVC Core Program Areas as highlighted in the sector column. It is a continuos project that depend s on the availability of a donor/sponsor who is willing to sponsor a child. The project's main activities include: payment of school fees and scholastic materials for children at all levels, Support to school development programs including infrastructural development, equipment and acquisition of resource materials, suppport to vocational skills training of youths, provision of basic care and support to chronically ill or disabled children, support access shelter, and clean water to institutions and families, follow up on child abuse/ child protection cases, economic empowerement programs that include provision of IGA start up capital, VSLA, market oriented trainings among many other interventions.",,,1747,Ongoing,16-Jun-05,Continuing project,x,,,,Sahra Farah,Project Manager,sfarah@iom.int
AAFCAD,20,National Non Governmental Organisation,AAFCAD,,YARID,Makindye,,KABALAGALA,Kampala,Education,,"vocational school, community health sensitization",,,8000,Ongoing,01-Jan-16,01-Dec-20,,x,,,Diane Archer,,diane.archer@iied.org
AAFCAD,20,National Non Governmental Organisation,AAFCAD,,"Companionship of Workers Association(COWA), Uganda School for the Deaf, Meeting Point International,Meeting Point Kyamusa Obwongo, Kamwokya Christian Caring Community( KCCC), Uganda Discharged Prisoners Aid Society ( UDPAS)",Makindye,,KATWE II,"Namuwongo, Kireka, Nsambya, Kamwokya",Education,,"vocational school, community health sensitization",,,8000,Ongoing,01-Jan-16,01-Dec-20,x,,x,The project is implemented through the six listed implementing partners in Kampala and they are the ones who report directly through the OVC MIS at respective Divisions of operation. The project supports several internally discplaced persons who moved from Northern Uganda during the long period of insurgency and many of them never returned to their orginal places. The rest are the other vulnerable community members residing in Kampala who are not necessarily refugees.,Rita Larok,director of programs,rita.larok@avsi.org
Norwegian Refugee Council (NRC),7,International Non Governmental Organisation,Norwegian Refugee Council (NRC),,N/A,"Central, Makindye, Kawempe",,BWAISE II,"Kinawataka, Kasokoso",Social Development,,"Provision of group information sessions on protection, rights, remedies and entitlements, Provision of trainings on Housling, land and property, dispute resolution and legal identity documents, provision of legal assistance through implementing partners and local legal aid actors, legal counseling and referral of cases for appropropriate support and intervention, reseach and publicatio to inform programming and evidence based advocacy",,,4275,Ongoing,01-Jan-18,01-Dec-18,x,,,Note that the project is targeting both the local community and refugees who will be identified to be affetced by the clearance of the Right of way for the construction,,,
Norwegian Refugee Council (NRC),7,International Non Governmental Organisation,Norwegian Refugee Council (NRC),,WFP/KCCA,"Central, Makindye, Kawempe",,KANSANGA,TBD,Social Development,,"Provision of group information sessions on protection, rights, remedies and entitlements, Provision of trainings on Housling, land and property, dispute resolution and legal identity documents, provision of legal assistance through implementing partners and local legal aid actors, legal counseling and referral of cases for appropropriate support and intervention, reseach and publicatio to inform programming and evidence based advocacy",,,4275,Ongoing,01-Jan-18,01-Dec-18,,,,The study will target both Nationals and refugees,,,
Norwegian Refugee Council (NRC),7,International Non Governmental Organisation,Norwegian Refugee Council (NRC),,"Plan International Uganda, ACTogether Uganda & Uganda Youth Development Link","Central, Makindye, Kawempe",,KATWE II,"Banda, Mbuya I, Kamwokya I, Kagugube, Kibuye I, Katwe I, Kosovo, Nankulabye, Bwaise II and Makerere III",Social Development,,"Provision of group information sessions on protection, rights, remedies and entitlements, Provision of trainings on Housling, land and property, dispute resolution and legal identity documents, provision of legal assistance through implementing partners and local legal aid actors, legal counseling and referral of cases for appropropriate support and intervention, reseach and publicatio to inform programming and evidence based advocacy",,,4275,Ongoing,01-Jan-18,01-Dec-18,,,,,Frederick Mugisa Jr.,Country Director,fmugisa@gmail.com
Norwegian Refugee Council (NRC),7,International Non Governmental Organisation,Norwegian Refugee Council (NRC),,,"Central, Makindye, Kawempe",,KAWEMPE I,All Slums of Kampala,Social Development,,"Provision of group information sessions on protection, rights, remedies and entitlements, Provision of trainings on Housling, land and property, dispute resolution and legal identity documents, provision of legal assistance through implementing partners and local legal aid actors, legal counseling and referral of cases for appropropriate support and intervention, reseach and publicatio to inform programming and evidence based advocacy",,,4275,Ongoing,01-Jan-18,01-Dec-18,x,,,Strengthening existing saving groups,,,
Norwegian Refugee Council (NRC),7,International Non Governmental Organisation,Norwegian Refugee Council (NRC),,IOM (International Organisation for Migration),"Central, Makindye, Kawempe",,KAZO ANGOLA,"Bwaise I, Bwaise II and Bwaise III",Social Development,,"Provision of group information sessions on protection, rights, remedies and entitlements, Provision of trainings on Housling, land and property, dispute resolution and legal identity documents, provision of legal assistance through implementing partners and local legal aid actors, legal counseling and referral of cases for appropropriate support and intervention, reseach and publicatio to inform programming and evidence based advocacy",,,4275,Ongoing,01-Jan-18,01-Dec-18,x,,,Extending Small Business Start-up kits and formation of a Cooperative society,,,
Norwegian Refugee Council (NRC),7,International Non Governmental Organisation,Norwegian Refugee Council (NRC),,,"Central, Makindye, Kawempe",,KISENYI III,Wankulukuku,Social Development,,"Provision of group information sessions on protection, rights, remedies and entitlements, Provision of trainings on Housling, land and property, dispute resolution and legal identity documents, provision of legal assistance through implementing partners and local legal aid actors, legal counseling and referral of cases for appropropriate support and intervention, reseach and publicatio to inform programming and evidence based advocacy",,,4275,Under development,01-Jan-18,01-Dec-18,,,x,A sanitation unit to be built,,,
Norwegian Refugee Council (NRC),7,International Non Governmental Organisation,Norwegian Refugee Council (NRC),,Omprakash+ others to be determined,"Central, Makindye, Kawempe",,LUNGUJJA,Masajja,Social Development,,"Provision of group information sessions on protection, rights, remedies and entitlements, Provision of trainings on Housling, land and property, dispute resolution and legal identity documents, provision of legal assistance through implementing partners and local legal aid actors, legal counseling and referral of cases for appropropriate support and intervention, reseach and publicatio to inform programming and evidence based advocacy",,,"4,275",Ongoing,01-Jan-18,01-Dec-18,x,x,x,"Since 1997 Bondeko has been working in the stated feald and has completed many of the programmes. But due to the increasing number of refugees and assylum seekers over the years, all the programmes has been renewed and need more support from parteners",Paul Bahati K,Executive Director,bedkit@gmail.com
Norwegian Refugee Council (NRC),7,International Non Governmental Organisation,Norwegian Refugee Council (NRC),,COSMESS,"Central, Makindye, Kawempe",,MENGO,"Nakulabye, Kawepe, Bwaise II, Kazo Angola",Social Development,,"Provision of group information sessions on protection, rights, remedies and entitlements, Provision of trainings on Housling, land and property, dispute resolution and legal identity documents, provision of legal assistance through implementing partners and local legal aid actors, legal counseling and referral of cases for appropropriate support and intervention, reseach and publicatio to inform programming and evidence based advocacy",,,4275,Ongoing,01-Jan-18,01-Dec-18,x,x,x,This is an open project that will keep going pending funding,Catherine,Country Director,cosmessuganda@gmail.com
Norwegian Refugee Council (NRC),7,International Non Governmental Organisation,Norwegian Refugee Council (NRC),,COSMESS/Local council,"Central, Makindye, Kawempe",,NANKULABYE I,"Nakulabye,kawempe,bwaise,kazo",Social Development,,"Provision of group information sessions on protection, rights, remedies and entitlements, Provision of trainings on Housling, land and property, dispute resolution and legal identity documents, provision of legal assistance through implementing partners and local legal aid actors, legal counseling and referral of cases for appropropriate support and intervention, reseach and publicatio to inform programming and evidence based advocacy",,,4275,Ongoing,01-Jan-18,01-Dec-18,x,x,x,This is an open project that will keep going pending funding,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,"KCCA, NRC, ACTogether","Kawempe, Makindye and Central",,KABALAGALA,Nsambya,Social Development,,"The 'Smart Up factory' program empowers young entrepreneurs to develop their projects in technology, urban farming and videography through hubs (incubators). The first hubs started operating in 2016. Two additional hubs are under opening, with collaboration from KCCA.",,,30 young entrepreneurs every three months. The numbers are going to increase with the opening of the two additional centers,Ongoing,01-Jun-16,01-Jun-20,x,x,x,,Christina Zetlmeisl,Director of programs,christina.zetlmeisl@jrs.net
Xavier Project,21,National Non Governmental Organisation,Xavier Project,,"Girl Up initiative Uganda, Center for Domestic Violence Prevention, Uganda Youth Network","Makindye,Rubaga",,KABALAGALA,,Social Development,,"community enterprise cycle,capacity building in leadership and management,Art and craft.",,,205,Ongoing,01-Jan-12,,,x,x,There is possibilty for a new framework,Casiana Kansiime,"Project Manager, Kampala Urban",Casiano.Kansiime@plan-international.org
Xavier Project,21,National Non Governmental Organisation,Xavier Project,,KCCA,"Makindye,Rubaga",,KATWE I,"Kabalagala, Kawempe and Nakasero",Social Development,,"community enterprise cycle,capacity building in leadership and management,Art and craft.",,,205,Ongoing,01-Jan-12,,x,,x,Kabalagala and Nakasero Hud are under processes of establishment,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,"Actogether Uganda,UYDEL (Uganda,youth development and","Kawempe, Makindye and Central",,KAWEMPE I,"Katwe1, Kibuye1, Nakulabye, Mbuya 1, Banda 1, Lungujja, Kamokya 1, Kagugube, Makerere 3, Bwaise",Social Development,,"The 'Smart Up factory' program empowers young entrepreneurs to develop their projects in technology, urban farming and videography through hubs (incubators). The first hubs started operating in 2016. Two additional hubs are under opening, with collaboration from KCCA.",,,30 young entrepreneurs every three months. The numbers are going to increase with the opening of the two additional centers,Ongoing,01-Jun-16,01-Jun-20,x,x,x,The objectives of this project are drawn from lessons learnt from previous phases.,,,
Young African refugees for Integral Development,9,National Non Governmental Organisation,Young African refugees for Integral Development,,WWF (World Wide Fund for nature),Rubaga,,LUBYA,Several neighborhoods in Kawempe division,Social Development,,"English training, women empowerment project",,,,Ongoing,11-Jul-05,,,,x,Highly works with Governmnet aided schools in Kawempe.,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,Uganda Youth Development Link(UYDL),"Kawempe, Makindye and Central",,NAKASERO I,Kawempe,Social Development,,"The 'Smart Up factory' program empowers young entrepreneurs to develop their projects in technology, urban farming and videography through hubs (incubators). The first hubs started operating in 2016. Two additional hubs are under opening, with collaboration from KCCA.",,,30 young entrepreneurs every three months. The numbers are going to increase with the opening of the two additional centers,Ongoing,01-Jun-16,01-Jun-20,x,x,x,The objectives of this project are drawn from lessons learnt from previous phase.,,,
Xavier Project,21,National Non Governmental Organisation,Xavier Project,,Youth Empowerment Link(YEL) and Gals Forum International(GAFI),"Makindye,Rubaga",,NSAMBYA CENTRAL,"Kawempe I, Bwaise III, Nankulabye, Kisugu, Ggaba, Kabalagala",Social Development,,"community enterprise cycle,capacity building in leadership and management,Art and craft.",,,205,Ongoing,01-Jan-12,,,x,,"Pending provision of funding, the project may be extended beyond the end date",,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,UNHCR & OPM,All,,BANDA,All refugee hosting neighborhoods,Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,Ongoing,01-May-18,01-Apr-22,x,x,x,,Samuel M Wangalwe,Executive Director,swangalwa@interaiduganda.org
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,"Actogether ,Yarid",All,,BWAISE I,"Bwaise ,kawempe",Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,Ongoing,01-May-18,01-Apr-22,x,,,,Kafuma Richard,Director youth engagement,richard@affcad.org
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,"Xavier project ,Yarid,actogether",All,,KAGUGUBE,"Katwe II,kabalagala",Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,Ongoing,01-May-18,01-Apr-22,,,x,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,"Xavier project ,Yarid,Bondeko",All,,KAMWOKYA I,"Nsambya,Najjanankumbi,Katwe",Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,Ongoing,01-May-18,01-Apr-22,,,x,,Grace Kiira Okia,Director of Programmes,g.okia@xavierproject.org
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,"Bondeko,Youth cooperation for ideas",All,,KATWE I,"Katwe,Nsambya,kabalagala",Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,Ongoing,01-May-18,01-Apr-22,x,,,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,N/A,Kawempe,,KAWEMPE I,Kansanga,Social Development,,The program Partnership Of Empowerment Of Vulnerable Girls And Young Women In The Slum Of Kampala City (Pevus) empowers and support sex workers and vulnerable individuals. It provides early child care and livelihood trainings to give alternatives to sex workers. It also supports health centers to provide better medical care to this target group.,,,400 commercial sex workers,UNDERWAY,01-Jul-18,01-Jul-20,x,,x,,Gladys Wangechi,Office Manager,refugeandhope.gladys@gmail.com
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,N/A,All,,KIBUYE I,Kansanga,Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,UNDERWAY,01-May-18,01-Apr-22,,x,,This project is underway however a huge part of it is shelved right now due to financial constraints.,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,N/A,All,,LUNGUJJA,Kansanga,Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,UNDERWAY,01-May-18,01-Apr-22,,,x,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,N/A,All,,MAKERERE III,Kansanga,Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,SUSPENDED,01-May-18,01-Apr-22,x,x,x,We are in the process of acquiring a premises for the shelter program.,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,N/A,All,,MBUYA I,Kansanga,Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,UNDERWAY,01-May-18,01-Apr-22,x,,,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,,All,,NANKULABYE I,,Social Development,,"The program 'Safe and inclusive cities for young women and men' supports informal economic actorswho run small businesses to formalize their economic activities as per KCCA's framework. The program also advocates for the rights and better conditions of business for small business holders. At the community level, communities are empowereed to identify security issues and address them through secrity and safety action plans. Transport agencies are involved in the process.",,,250 per year,,01-May-18,01-Apr-22,,,,,Orikushaba Paul,,paul.orik@lwf.or.ug
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,Kawempe,,BWAISE I,,Social Development,,"Strengthening Social Cohesion and Stability in Slum Populations, Kampala",,,,,01-Aug-18,31-Aug-19,,,,,,,
AAFCAD,20,National Non Governmental Organisation,AAFCAD,,,Kawempe,,BWAISE I,,Social Development,,Provision of basic income generation skills (7500 individuals),,,7500,,01-Jan-16,01-Dec-20,,,,,Ketty Candgura Akello,Program manager,ketty.akello@refugeecouncil.fr
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,Kawempe,,BWAISE II,,Social Development,,"Strengthening Social Cohesion and Stability in Slum Populations, Kampala",,,,,01-Aug-18,31-Aug-19,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,Kawempe,,BWAISE III,,Social Development,,"Strengthening Social Cohesion and Stability in Slum Populations, Kampala",,,,,01-Aug-18,31-Aug-19,,,,,Rupert Allan,Country manager,rupert.allan@hotosm.org
AAFCAD,20,National Non Governmental Organisation,AAFCAD,,,Kawempe,,KAWEMPE II,,Social Development,,Provision of basic income generation skills (7500 individuals),,,7500,,01-Jan-16,01-Dec-20,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,,,Social Development,,Supporting the activities of the National Slum Dwellers Federation of Uganda,,,,,01-Apr-18,31-Mar-19,,,,,,,
Bondeko livelihood center,15,National Non Governmental Organisation,Bondeko livelihood center,,,Makindye,,MAKINDYE I,,Social Development,,"Bakery, Mushroom growing, savings, education for adults (english, business), IT, english class for children, cultural activities (dance, music), sports, home care (for new refugees with no connection), Orientation ( for the assylum process guidance and referring cases through the framework for service)",,,3500,,01-Jan-97,N/A,,,,,,,
COMESSA Uganda,16,National Non Governmental Organisation,COMESSA Uganda,,,All,,BWAISE II,,Social Development,,"Provision of basic income generation skills ,Access to BTVET Training services and SME and loan schedule",,,"about 10,000",,01-Jun-18,OPEN,,,,,,,
COMESSA Uganda,16,National Non Governmental Organisation,COMESSA Uganda,,,All,,KAWEMPE II,,Social Development,,"Provision of basic income generation skills ,Access to BTVET Training services and SME and loan schedule",,,"about 10,000",,01-Jun-18,OPEN,,,,,,,
COMESSA Uganda,16,National Non Governmental Organisation,COMESSA Uganda,,,All,,KAZO ANGOLA,,Social Development,,"Provision of basic income generation skills ,Access to BTVET Training services and SME and loan schedule",,,"about 10,000",,01-Jun-18,OPEN,,,,,,,
COMESSA Uganda,16,National Non Governmental Organisation,COMESSA Uganda,,,All,,NANKULABYE I,,Social Development,,"Provision of basic income generation skills ,Access to BTVET Training services and SME and loan schedule",,,"about 10,000",,01-Jun-18,OPEN,,,,,,,
Young African refugees for Integral Development,9,National Non Governmental Organisation,Young African refugees for Integral Development,,,Makindye,,NSAMBYA ESTATE,,Social Development,,computer and social media training. Community hub. English training,,,,,07-Jul-05,10-Jul-05,,,,,,,
Refuge and Hope International,22,International Non Governmental Organisation,Refuge and Hope International,,,Makindye,,KANSANGA,,Social Development,,"Women's Rehabilitation Shelter program addresses refugees' needs using a holistic approach through Therapeutic Counseling, leadership and skills training courses , awareness on GBV and human rights are addressed.",,,36,,05-Jan-18,07-Dec-18,,,,,,,
I AM Family Minitries,5,National Non Governmental Organisation,I AM Family Minitries,,,Rubaga,,BUSEGA,,Social Development,,"Empower communities,Develop talent and create opportunities",,,1000,,01-Apr-17,01-Jan-19,,,,,,,
I AM Family Minitries,5,National Non Governmental Organisation,I AM Family Minitries,,,Rubaga,,LUNGUJJA,,Social Development,,"Empower communities,Develop talent and create opportunities",,,1000,,01-Apr-17,01-Jan-19,,,,,,,
I AM Family Minitries,5,National Non Governmental Organisation,I AM Family Minitries,,,Rubaga,,NAMIREMBE,,Social Development,,"Empower communities,Develop talent and create opportunities",,,1000,,01-Apr-17,01-Jan-19,,,,,,,
